INFO:run:CONFIGURATION: {
  "logfile": "logs/20170329-100109-00.txt",
  "nlayers": 1,
  "results": "results/20170329-100109-00.txt",
  "model": "LSTM",
  "data": "./data/penn",
  "sequence_length": 20,
  "clip": 0.5,
  "nhid": 50,
  "log_interval": 20,
  "emsize": 50,
  "lr": 20,
  "experiment_id": "20170329-100109-00",
  "save": "models/20170329-100109-00.pt",
  "batch_size": 20,
  "seed": 1111,
  "epochs": 2
}
INFO:run:| epoch   1 |  1000/ 2323 batches | lr 20.00 | ms/batch 280.23 | loss 206.26 | ppl 376698286421977805405998775082645186190821820954292206903558528600372723590585943708401664.00
INFO:run:| epoch   1 |  1020/ 2323 batches | lr 20.00 | ms/batch 275.03 | loss 206.75 | ppl 617110488361468446370221691603043772186379902264598901486927427470491355956766390746087424.00
INFO:run:| epoch   1 |  1040/ 2323 batches | lr 20.00 | ms/batch 298.37 | loss 206.43 | ppl 446489225449392705097959925762079703133463183924384195827248381018290267991785548495716352.00
INFO:run:| epoch   1 |  1060/ 2323 batches | lr 20.00 | ms/batch 318.19 | loss 208.98 | ppl 5762660426779098331848630009704364824627693347593435894262895849376175747174343991462199296.00
INFO:run:| epoch   1 |  1080/ 2323 batches | lr 20.00 | ms/batch 314.96 | loss 208.16 | ppl 2538194391261769629774154258533468403142740693611629905318841487309258405594110821161500672.00
INFO:run:| epoch   1 |  1100/ 2323 batches | lr 20.00 | ms/batch 318.84 | loss 209.08 | ppl 6316386539690381720666120854389471154440816489817596593602724297798094887676537653193342976.00
INFO:run:| epoch   1 |  1120/ 2323 batches | lr 20.00 | ms/batch 312.21 | loss 206.27 | ppl 380135054827141625971238385905386945018474514266684302581213357325823033320125707562516480.00
INFO:run:| epoch   1 |  1140/ 2323 batches | lr 20.00 | ms/batch 284.38 | loss 208.34 | ppl 3024057410333992682908466545395265921670926272939364296203484151718793618887787099887501312.00
INFO:run:| epoch   1 |  1160/ 2323 batches | lr 20.00 | ms/batch 304.18 | loss 207.74 | ppl 1666784494614651511431314279636126570603698904260909627656187844334437307024981486385233920.00
INFO:run:| epoch   1 |  1180/ 2323 batches | lr 20.00 | ms/batch 292.69 | loss 205.43 | ppl 164635609561640435315235365998990368458527332490148911834157649015691705283514185386295296.00
INFO:run:| epoch   1 |  1200/ 2323 batches | lr 20.00 | ms/batch 289.66 | loss 206.38 | ppl 428055210156585908971942839149628806534740520945263349382353074239745244116954214161186816.00
INFO:run:| epoch   1 |  1220/ 2323 batches | lr 20.00 | ms/batch 293.54 | loss 206.43 | ppl 448543251453522430431320576325088749540728630068481366081055684747030723491699880861106176.00
INFO:run:| epoch   1 |  1240/ 2323 batches | lr 20.00 | ms/batch 292.19 | loss 207.64 | ppl 1502399219881313930986906499071873775893868714717181546547338545018294479704892465284644864.00
INFO:run:| epoch   1 |  1260/ 2323 batches | lr 20.00 | ms/batch 300.36 | loss 207.29 | ppl 1062269903323697727585215844430557336802843114194971229071031842523414543054194048489226240.00
INFO:run:| epoch   1 |  1280/ 2323 batches | lr 20.00 | ms/batch 297.90 | loss 206.99 | ppl 781873989805911683257836596943874752887883214235312163396798888945737674496298708776255488.00
INFO:run:| epoch   1 |  1300/ 2323 batches | lr 20.00 | ms/batch 311.50 | loss 205.53 | ppl 181790640601919030717332592662361332666714022344551682667532158860931675696947272146223104.00
INFO:run:| epoch   1 |  1320/ 2323 batches | lr 20.00 | ms/batch 335.28 | loss 205.11 | ppl 120094688596719479690127730011482423529526442193495440533031498952814243386845524442218496.00
INFO:run:| epoch   1 |  1340/ 2323 batches | lr 20.00 | ms/batch 300.61 | loss 205.96 | ppl 278765338429922574944756432656694908884202848597430817073350380413603274470150832048308224.00
INFO:run:| epoch   1 |  1360/ 2323 batches | lr 20.00 | ms/batch 311.15 | loss 203.56 | ppl 25521923489624508777066218249057213908823937527798035849687772522527698508284033335558144.00
INFO:run:| epoch   1 |  1380/ 2323 batches | lr 20.00 | ms/batch 286.89 | loss 205.06 | ppl 113883946570751029976949495528320244681543242307272055149450244537999757786603880999550976.00
INFO:run:| epoch   1 |  1400/ 2323 batches | lr 20.00 | ms/batch 304.30 | loss 205.66 | ppl 206988920751433625757450327796617049579934706361738749686214715576026698363834845536190464.00
INFO:run:| epoch   1 |  1420/ 2323 batches | lr 20.00 | ms/batch 349.28 | loss 205.79 | ppl 237146006132838033841882282539930019141636134258645141520606663150722985012258001532223488.00
